,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_identity_verified,host_since,instant_bookable,review_scores_rating,zipcode,bedrooms,beds,price
57145,0,0,4,1,4,1,1,0,1,16369,0,100,2108,1,1,180.0
3437,0,1,2,1,4,2,1,0,1,16974,0,93,2108,1,1,250.0
36911,0,0,2,1,4,2,1,0,1,16487,0,97,2108,0,1,160.0
30065,0,0,4,1,4,2,1,0,0,16548,0,95,2108,2,2,225.0
36926,0,1,2,1,0,2,1,0,1,16974,0,97,2108,1,1,125.0
21359,0,0,4,1,4,2,1,0,1,16115,1,20,2108,2,1,179.0
5185,25,0,6,2,4,1,1,0,1,16422,1,96,2108,3,4,450.0
26275,0,0,6,2,4,2,1,0,1,16115,1,88,2108,3,3,249.0
44248,0,0,2,1,4,2,0,0,0,16747,1,96,2108,1,1,189.0
45806,0,0,4,1,4,2,1,0,1,16115,1,90,2108,2,2,269.0
25530,0,0,6,2,4,2,1,0,1,16115,1,60,2108,3,3,269.0
9677,25,0,6,1,2,2,1,0,1,16776,1,97,2108,2,3,425.0
2894,1,1,2,1,4,1,0,0,0,16023,0,91,2108,1,1,125.0
64803,0,0,4,2,4,2,1,0,1,16974,0,100,2108,2,1,350.0
44282,0,0,2,1,4,1,1,0,1,16869,0,95,2108,1,1,210.0
51290,0,0,3,1,4,2,1,0,0,17071,1,90,2108,1,1,200.0
13262,0,0,6,2,4,2,1,0,1,16115,1,93,2108,3,1,299.0
70658,0,0,2,1,4,2,0,0,0,16747,1,93,2108,0,1,209.0
3990,0,0,2,1,4,1,1,0,1,16422,1,96,2108,1,1,138.0
335,0,0,2,1,4,2,1,0,1,16487,0,98,2108,1,1,160.0
54001,0,0,5,2,4,2,1,0,1,15554,1,96,2108,2,4,290.0
57758,10,0,3,1,4,2,1,0,0,14447,0,95,2108,1,1,150.0
65611,0,0,2,1,4,1,1,0,1,16315,0,92,2108,1,1,289.0
34485,10,0,2,1,4,2,1,0,0,14447,0,100,2108,1,1,140.0
34501,0,0,2,1,4,2,1,0,1,16467,0,97,2108,1,2,287.0
21893,10,0,2,1,4,2,1,0,0,14447,0,94,2108,1,1,175.0
59277,0,0,3,1,4,2,1,0,0,14447,0,89,2108,1,1,175.0
65781,0,0,3,1,4,2,1,0,1,15472,1,100,2108,0,1,189.0
30396,0,0,2,1,4,0,1,0,1,16422,1,94,2108,1,1,139.0
67560,0,0,4,1,4,2,1,0,1,16115,1,93,2108,2,2,179.0
24748,0,0,4,1,4,0,1,0,1,16422,1,87,2108,2,2,207.0
6738,0,0,3,1,4,2,1,0,1,16662,1,98,2108,1,1,200.0
23785,0,0,2,1,4,2,0,0,0,16511,0,95,2108,1,1,295.0
29126,0,0,2,1,4,0,0,0,1,16356,1,100,2108,0,1,150.0
51614,16,0,7,2,4,2,1,0,0,16487,1,91,2108,4,4,637.0
9811,0,0,2,1,4,2,1,0,0,17036,1,100,2108,1,1,99.0
70944,0,0,2,1,4,1,1,0,1,16422,1,92,2108,1,1,157.0
48453,0,0,4,1,4,2,1,0,1,16115,1,100,2108,2,2,249.0
53847,0,0,4,1,4,1,1,0,1,16422,1,95,2108,2,2,207.0
6716,0,0,2,1,4,0,1,0,1,16422,1,90,2108,0,1,148.0
50525,0,0,6,2,4,2,1,0,1,16115,1,100,2108,3,3,179.0
13781,0,0,4,2,4,1,1,0,1,14920,0,100,2108,1,1,200.0
2394,0,0,8,2,4,2,1,0,0,17115,1,93,2109,2,4,399.0
1591,0,0,2,1,4,2,1,0,1,17201,0,97,2109,0,1,275.0
59753,0,0,4,1,4,2,1,0,0,16932,0,94,2109,2,2,245.0
404,10,0,2,1,4,2,1,0,1,16034,0,100,2109,1,2,270.0
9264,0,0,4,1,4,2,1,0,0,16548,0,94,2109,2,2,215.0
68410,0,0,6,2,4,2,1,0,0,16951,0,97,2109,2,3,363.0
30896,16,1,2,1,4,1,1,0,1,16724,0,97,2109,1,1,99.0
29945,0,0,4,1,4,1,0,0,0,16455,0,100,2109,1,1,200.0
66763,0,0,4,1,4,0,1,0,1,16713,0,80,2109,2,2,275.0
51785,16,1,4,1,4,1,1,0,1,16724,0,98,2109,1,3,99.0
17799,0,0,4,1,4,2,0,0,1,16488,0,100,2109,2,2,400.0
61344,0,0,3,1,4,2,1,0,1,15991,1,98,2109,1,1,130.0
57562,23,1,4,1,4,0,0,0,0,16967,1,100,2109,1,1,200.0
71763,0,0,3,1,4,2,1,0,1,16713,0,100,2109,1,1,225.0
61164,0,0,6,1,4,2,1,0,0,17036,1,90,2109,2,2,119.0
30847,10,0,4,2,4,2,1,0,1,17201,0,100,2109,2,2,550.0
8065,0,0,4,1,4,1,1,0,1,15424,0,94,2109,2,2,180.0
41859,0,0,8,2,4,2,1,0,1,17109,1,94,2109,2,4,350.0
61539,10,0,2,1,4,2,1,0,1,16034,0,91,2109,1,2,270.0
19496,0,0,4,1,4,0,1,0,1,15722,0,92,2109,1,2,125.0
17844,0,0,4,2,4,2,1,0,1,16115,1,98,2109,2,2,199.0
43897,0,0,5,1,4,1,1,0,1,17073,0,97,2109,1,3,169.0
52843,0,0,6,1,4,2,1,0,1,15991,1,98,2109,2,2,200.0
12698,0,0,2,1,4,2,0,0,1,16315,0,93,2109,1,1,229.0
21328,0,0,7,1,4,1,1,0,1,17073,1,98,2109,0,3,209.0
6169,0,0,8,3,4,2,1,0,1,17201,0,100,2109,3,3,785.0
43281,0,0,2,1,4,2,1,0,0,17036,1,80,2109,1,1,89.0
32745,0,0,6,2,4,2,1,0,0,17058,1,90,2109,2,4,99.0
23113,0,0,6,2,4,2,1,0,0,17058,1,89,2109,2,5,99.0
4362,0,0,8,2,4,2,1,0,1,17109,1,95,2109,2,4,399.0
62425,0,0,6,2,4,2,1,0,0,16548,0,95,2109,2,3,255.0
63540,0,0,6,2,4,2,1,0,0,17058,1,89,2109,2,4,99.0
14198,0,0,6,1,4,2,1,0,0,17036,1,88,2109,3,3,149.0
44930,0,0,2,1,4,2,1,0,0,17036,1,100,2109,1,1,89.0
39663,0,0,4,1,4,1,1,0,0,16864,0,100,2109,1,4,325.0
10090,0,0,5,1,4,2,1,0,0,15786,1,93,2109,1,4,99.0
16938,0,0,6,2,4,2,1,0,0,17058,1,91,2109,2,3,99.0
8975,16,0,6,1,4,3,1,0,0,17134,1,100,2110,2,3,239.0
57403,0,0,2,1,4,2,0,0,1,16393,0,97,2110,1,1,399.0
2735,0,0,4,1,4,2,1,0,1,16115,1,95,2110,1,2,129.0
40590,16,0,5,1,4,3,1,0,0,17134,1,96,2110,2,3,193.0
50678,0,0,3,1,4,2,1,0,1,16115,1,89,2110,0,2,129.0
8964,0,0,2,1,4,2,1,0,1,16115,1,88,2110,0,1,139.0
30478,16,0,10,2,4,3,1,0,0,17134,1,100,2110,3,5,292.0
48875,0,0,2,1,4,2,1,0,1,16115,1,100,2110,0,1,69.0
64535,0,0,2,1,4,2,1,0,1,16115,1,98,2110,0,1,119.0
69998,0,0,2,1,4,2,1,0,1,16115,1,84,2110,0,1,129.0
9095,0,0,4,1,4,2,1,0,1,16115,1,87,2110,1,2,119.0
66567,0,0,2,1,4,2,1,0,1,16115,1,94,2110,0,1,139.0
54802,0,0,6,1,4,2,1,0,1,15682,1,78,2110,2,2,347.0
26495,0,0,2,1,4,2,1,0,1,16115,1,87,2110,0,1,159.0
3679,0,0,2,1,4,2,1,0,1,16115,1,92,2110,0,1,139.0
48195,0,0,2,1,4,2,1,0,1,16115,1,95,2110,0,1,139.0
36598,0,0,4,1,4,2,1,0,1,16115,1,90,2110,1,2,129.0
6293,0,0,2,1,4,2,1,0,1,16115,1,85,2110,1,1,139.0
23284,16,0,6,2,4,3,1,0,0,17134,1,93,2110,3,3,505.0
43242,16,0,6,1,4,3,1,0,0,17134,1,80,2110,2,3,292.0
429,0,0,3,1,4,2,1,0,1,16115,1,94,2110,1,2,129.0
14583,0,0,4,2,4,2,1,0,1,16115,1,95,2110,2,2,229.0
50994,0,0,4,1,4,2,1,0,1,16115,1,92,2110,1,2,129.0
34101,0,0,4,1,4,2,1,0,1,16115,1,85,2110,1,2,129.0
66336,0,0,5,2,4,1,0,0,1,16357,0,90,2111,2,3,275.0
41980,19,0,4,2,4,2,1,0,1,16115,1,94,2111,2,2,259.0
62855,0,0,5,1,4,2,1,0,1,17222,1,95,2111,2,3,295.0
11179,0,0,3,1,4,2,1,0,1,17222,1,96,2111,1,2,170.0
43391,0,0,3,1,4,2,1,0,1,16524,0,100,2111,1,1,129.0
53070,0,0,4,1,4,2,1,0,1,16353,0,100,2111,1,2,85.0
58267,0,0,6,1,4,2,1,0,0,16083,1,91,2111,2,2,290.0
26829,0,0,3,1,4,2,0,0,0,16957,0,100,2111,0,2,150.0
14624,0,0,6,1,4,2,1,0,0,16541,1,92,2111,2,2,175.0
14057,0,0,4,1,4,2,1,0,0,15789,1,83,2111,1,2,196.0
47001,0,0,3,1,4,0,0,0,1,16710,0,100,2111,1,2,225.0
6713,0,0,6,2,4,2,1,0,1,16350,1,96,2111,2,3,119.0
46951,0,0,3,1,4,0,1,0,1,16524,0,100,2111,1,1,134.0
55447,0,0,3,1,4,0,1,0,1,16524,0,100,2111,0,1,209.0
67461,0,0,5,2,4,2,1,0,1,16524,0,90,2111,2,2,179.0
25064,0,0,6,2,4,2,1,0,1,17056,0,97,2111,2,2,399.0
44968,0,0,4,1,4,2,0,0,0,15313,0,97,2111,1,2,90.0
37955,0,0,4,1,4,2,1,0,1,17056,0,100,2111,1,1,249.0
60827,0,0,11,2,4,2,1,0,1,17030,1,97,2111,4,7,399.0
51611,0,0,3,1,4,2,1,0,1,16649,0,93,2111,2,2,300.0
73702,0,0,4,1,4,2,1,0,1,16083,0,99,2111,1,1,279.0
32388,0,0,6,2,4,2,1,0,0,16083,1,85,2111,2,3,300.0
63155,0,0,8,2,4,2,1,0,0,17058,1,85,2111,2,4,129.0
6771,0,0,4,1,4,1,1,0,1,16642,0,95,2111,1,2,169.0
33638,0,0,4,1,4,2,1,0,1,16689,0,93,2111,1,2,225.0
33697,0,0,6,1,4,1,1,0,1,16231,1,95,2111,3,3,299.0
27674,0,0,4,1,4,2,1,0,1,17222,1,98,2111,2,3,295.0
19749,0,1,2,1,4,2,0,0,0,16509,1,60,2111,1,1,110.0
70956,0,0,4,1,4,2,1,0,1,17222,1,99,2111,1,2,190.0
5732,10,0,8,1,4,2,1,0,0,15789,1,88,2111,3,4,169.0
12271,10,1,2,1,4,2,1,0,0,15258,1,84,2111,1,1,170.0
35725,0,0,4,1,4,2,1,0,1,16115,1,92,2111,1,2,109.0
55737,0,0,4,1,4,2,1,0,1,16689,0,92,2111,2,2,285.0
47563,0,0,2,1,4,2,1,0,1,16664,0,99,2111,0,1,99.0
59611,20,0,3,1,4,1,1,0,1,15992,0,96,2111,1,2,311.0
59939,0,0,3,1,4,1,1,0,1,16197,0,100,2111,1,1,152.0
55957,0,0,2,1,4,2,1,0,0,15304,0,80,2111,0,1,133.0
39269,0,0,5,2,4,2,1,0,1,16524,0,100,2111,2,2,179.0
5045,0,0,4,1,4,1,1,0,1,15989,0,100,2111,3,2,270.0
21303,0,0,5,2,4,2,1,0,1,16524,0,88,2111,2,2,179.0
224,0,0,5,2,4,1,1,0,1,15992,0,100,2111,2,3,389.0
11943,0,0,5,1,4,2,1,0,1,17030,1,93,2111,2,3,179.0
66582,0,0,5,2,4,2,1,0,1,16524,0,80,2111,2,2,177.0
21170,0,0,11,2,4,2,1,0,1,17030,1,98,2111,4,7,399.0
14229,0,0,6,3,4,2,1,0,1,16115,1,88,2111,3,3,259.0
36388,19,0,8,3,4,2,1,0,0,16351,1,93,2111,3,3,700.0
69633,19,0,4,2,4,2,1,0,1,16115,1,85,2111,2,2,179.0
70792,0,0,5,2,4,2,1,0,1,16524,0,100,2111,2,2,178.0
10706,0,0,2,1,4,2,0,0,0,15168,0,100,2111,0,1,133.0
18451,0,0,5,2,4,2,1,0,1,16524,0,100,2111,2,2,176.0
4909,0,0,2,1,4,1,1,0,0,15516,0,97,2111,1,1,150.0
29369,0,1,2,1,4,1,1,0,1,15989,0,100,2111,1,1,99.0
9157,0,0,3,1,4,1,1,0,1,15992,0,100,2111,1,2,298.0
50411,19,0,2,1,4,2,1,0,1,16534,0,98,2111,1,1,275.0
48773,19,1,2,1,4,2,1,0,1,16442,1,92,2111,1,1,139.0
31767,0,0,5,2,4,2,1,0,0,17060,0,100,2111,2,2,800.0
5236,0,0,6,1,4,2,1,0,1,16689,0,93,2111,2,3,295.0
43992,0,0,5,1,4,2,1,0,1,17030,1,100,2111,2,3,179.0
67060,0,0,10,2,4,2,1,0,1,17030,1,100,2111,3,6,329.0
32104,0,0,5,2,4,2,1,0,0,17060,0,100,2111,2,2,800.0
24878,0,0,6,2,4,2,1,0,0,17314,0,98,2111,2,3,280.0
36188,19,0,4,2,4,2,1,0,1,15411,0,99,2111,1,2,395.0
33812,0,0,5,1,4,2,1,0,1,17030,1,80,2111,1,3,149.0
71300,0,0,6,1,4,2,1,0,1,15991,1,97,2113,2,2,225.0
66354,0,0,2,1,4,2,1,0,0,15604,0,88,2113,1,1,135.0
59175,0,0,2,1,4,2,1,0,0,15604,0,93,2113,1,1,125.0
44972,0,0,2,1,4,2,1,0,1,16655,0,96,2113,1,2,135.0
66107,10,0,4,1,4,2,1,0,0,16558,0,100,2113,0,2,195.0
47002,0,0,5,1,4,2,1,0,0,17036,1,90,2113,2,2,99.0
16922,0,1,1,1,4,0,0,0,0,16170,0,95,2113,1,1,88.0
47264,0,0,2,1,4,1,1,0,0,17173,0,100,2113,0,1,165.0
20974,0,0,4,1,4,2,1,0,1,16702,0,96,2113,2,2,225.0
59636,0,0,4,1,4,2,1,0,1,15371,0,97,2113,1,2,155.0
43877,0,0,12,2,4,2,1,0,0,17036,1,99,2113,4,4,249.0
21332,0,0,8,2,4,2,1,0,0,17036,1,94,2113,3,3,169.0
58563,0,0,4,1,4,2,1,0,0,16046,0,95,2113,1,1,160.0
15020,0,0,6,1,4,2,1,0,1,15223,1,90,2113,1,3,147.0
35099,0,0,4,1,4,0,1,0,1,16272,0,99,2113,2,2,285.0
46063,0,0,6,1,4,2,1,0,1,16901,0,100,2113,2,3,225.0
44281,0,0,5,1,4,0,1,0,1,16610,0,99,2113,2,3,225.0
58415,0,0,8,3,4,2,1,0,0,15786,1,94,2113,3,4,299.0
6418,10,0,6,1,4,2,1,0,0,16558,0,80,2113,2,3,395.0
26425,0,0,4,2,4,2,1,0,1,15424,0,98,2113,2,2,305.0
55358,0,0,2,1,4,2,1,0,0,16301,0,96,2113,0,1,150.0
20063,10,0,4,1,4,2,1,0,1,16258,0,98,2113,1,2,185.0
43692,0,0,3,1,4,2,1,0,1,15991,1,98,2113,1,1,175.0
15564,0,0,6,1,4,2,1,0,0,17036,1,92,2113,3,3,149.0
58803,0,0,2,1,4,2,1,0,0,16796,0,99,2113,1,1,210.0
34105,0,0,2,1,4,2,1,0,0,16247,0,95,2113,1,1,160.0
59732,0,0,8,1,4,2,1,0,0,17036,1,93,2113,3,4,139.0
21692,0,0,6,1,4,2,1,0,0,17036,1,97,2113,3,3,149.0
10948,0,0,8,2,4,2,1,0,0,17036,1,95,2113,3,3,159.0
73237,0,0,2,1,4,2,1,0,1,15561,0,92,2113,1,1,150.0
64336,0,0,2,1,4,2,1,0,0,15604,0,89,2113,1,1,125.0
9994,0,0,3,1,4,2,1,0,0,16708,1,100,2113,1,1,175.0
30102,0,0,3,1,4,2,1,0,1,15223,1,89,2113,1,1,147.0
56010,0,1,2,1,4,2,1,0,1,15794,0,98,2113,1,1,185.0
69821,0,0,5,1,4,2,1,0,1,15223,1,60,2113,2,3,137.0
54605,0,0,2,1,4,2,1,0,1,15248,0,95,2113,1,1,108.0
69452,0,0,6,1,4,2,1,0,0,15786,1,92,2113,2,3,109.0
40980,0,0,2,1,4,2,0,0,0,16423,1,87,2113,1,1,150.0
53178,0,0,4,1,4,2,1,0,1,15371,0,96,2113,2,4,199.0
64898,10,0,5,1,4,2,1,0,1,15554,1,93,2113,2,4,200.0
22558,0,0,2,1,4,2,1,0,1,16899,1,80,2113,1,1,160.0
11469,0,0,6,1,4,2,1,0,1,15223,1,83,2113,3,4,137.0
5087,16,0,12,2,4,2,1,0,0,17036,1,97,2113,4,4,249.0
31428,0,1,2,1,4,2,1,0,1,15857,0,92,2113,1,1,115.0
40737,16,1,2,1,4,1,1,0,1,17021,0,92,2113,1,2,80.0
14207,0,0,2,1,4,2,1,0,1,16115,1,93,2113,1,1,129.0
32617,0,0,2,1,4,2,1,0,0,16682,0,90,2113,1,1,195.0
51049,0,0,2,1,4,1,1,0,1,16111,0,100,2113,1,1,99.0
23553,0,0,4,1,4,2,1,0,0,16046,0,92,2113,1,1,144.0
38071,0,0,2,1,4,0,0,0,0,16897,1,97,2113,1,1,200.0
50768,0,0,2,1,4,2,1,0,0,15604,0,93,2113,1,1,125.0
10263,0,0,6,1,4,2,1,0,0,17036,1,94,2113,3,3,149.0
63158,0,0,2,1,4,2,1,0,0,15604,0,89,2113,1,1,125.0
51011,0,0,6,1,4,2,1,0,0,15786,1,89,2113,2,3,99.0
23713,0,0,6,1,4,2,1,0,1,15991,1,100,2113,3,3,275.0
63353,10,0,4,1,4,2,1,0,0,14503,0,79,2113,1,2,179.0
56496,0,0,2,1,4,2,1,0,0,17036,1,91,2113,1,1,89.0
11189,16,0,12,2,4,2,1,0,0,16469,1,100,2113,3,7,995.0
53756,0,0,2,1,4,0,1,0,0,15286,1,98,2113,1,1,250.0
39011,10,0,6,1,4,2,1,0,0,16558,0,60,2113,2,3,425.0
32561,0,0,2,1,4,0,1,0,1,16518,0,100,2113,0,1,185.0
50343,0,0,3,1,4,0,1,0,1,15696,1,100,2113,1,1,159.0
38933,0,0,4,1,4,1,1,0,1,16071,1,100,2113,2,2,199.0
14146,0,0,6,1,4,2,1,0,0,17036,1,92,2113,2,2,99.0
1923,10,0,4,1,4,2,1,0,1,15223,1,87,2113,1,2,267.0
8822,16,0,12,2,4,2,1,0,0,17036,1,99,2113,4,4,249.0
73026,0,0,2,1,4,2,1,0,1,15794,0,96,2113,1,1,125.0
56583,0,0,3,1,4,2,0,0,1,16410,0,97,2113,1,1,180.0
22477,0,0,4,2,4,2,1,0,1,15424,0,96,2113,2,2,255.0
6821,0,0,6,1,4,2,1,0,0,17036,1,94,2113,3,3,149.0
17869,0,0,4,1,4,1,1,0,1,15378,0,97,2113,1,1,159.0
5554,0,0,2,1,4,2,1,0,0,15604,0,95,2113,1,1,125.0
26780,0,0,6,1,4,2,1,0,0,15786,1,90,2113,2,3,129.0
5898,0,1,1,1,4,1,0,0,0,17184,1,98,2113,1,1,120.0
33497,0,0,4,1,4,2,1,0,1,16078,1,98,2113,1,1,192.0
65243,0,0,5,1,4,2,1,0,0,17036,1,93,2113,2,2,99.0
65520,0,0,4,1,4,2,1,0,0,16323,1,100,2113,1,2,99.0
22146,0,0,5,1,4,1,1,0,1,17073,1,93,2113,1,3,219.0
33229,0,1,1,1,4,0,0,0,1,16670,0,98,2113,1,1,79.0
43005,0,0,6,1,4,2,1,0,0,17036,1,100,2113,3,3,149.0
2206,0,0,4,1,4,2,1,0,1,15424,0,92,2113,2,2,199.0
42197,10,0,6,1,4,2,1,0,0,16558,0,99,2113,2,3,383.0
7881,0,0,5,1,4,2,1,0,1,15223,1,92,2113,2,3,147.0
303,0,0,2,1,4,2,1,0,0,17036,1,90,2113,0,1,79.0
14929,0,0,4,1,3,2,1,0,0,16046,0,91,2113,1,1,159.0
17131,0,0,2,1,4,2,1,0,1,16901,0,98,2113,1,2,165.0
33325,0,0,7,1,4,2,1,0,0,16323,1,88,2113,3,4,125.0
71679,0,0,4,1,4,0,1,0,1,15709,0,98,2113,2,2,300.0
43150,0,0,3,1,4,1,1,0,1,15378,1,96,2113,1,2,159.0
20151,0,0,4,1,4,2,1,0,1,16284,1,98,2114,1,2,225.0
30244,0,0,2,1,4,2,0,0,1,16315,0,94,2114,0,1,229.0
47164,0,2,2,1,3,1,1,0,1,16452,0,98,2114,1,1,89.0
32186,0,0,3,1,4,2,1,0,0,16323,1,91,2114,0,2,85.0
54254,10,1,3,1,4,2,1,0,1,16098,0,96,2114,1,1,155.0
45961,0,0,4,1,4,2,1,0,1,15424,0,98,2114,2,2,219.0
8827,0,1,2,1,4,2,1,0,1,15136,1,88,2114,1,1,130.0
8844,0,1,1,1,4,2,1,0,0,17062,0,94,2114,1,1,89.0
32469,0,0,4,1,4,2,1,0,1,15401,0,88,2114,0,2,162.0
70281,0,0,4,3,4,0,0,0,0,17342,0,100,2114,2,3,200.0
16974,0,0,5,2,4,2,1,0,1,16524,0,90,2114,2,2,186.0
68544,0,0,3,1,4,1,1,0,1,15992,0,100,2114,1,2,209.0
70462,0,0,2,1,4,1,1,0,1,16607,1,100,2114,1,1,160.0
19993,0,1,3,1,4,1,0,0,1,16407,0,93,2114,1,2,80.0
51788,0,0,3,1,4,2,1,0,1,16066,0,94,2114,1,2,125.0
71096,0,0,2,1,4,2,1,0,1,16316,0,95,2114,1,1,188.0
6972,16,0,4,1,4,2,1,0,0,17036,1,81,2114,1,2,69.0
32462,0,0,3,1,4,2,1,0,0,16772,0,99,2114,1,1,175.0
52242,0,0,4,1,4,0,0,0,1,15644,0,96,2114,1,3,250.0
25753,0,0,5,2,4,2,1,0,0,16297,0,90,2114,2,3,275.0
26509,0,0,2,1,4,2,1,0,1,15401,1,89,2114,0,2,133.0
58995,0,1,2,1,4,0,1,0,1,15927,0,97,2114,1,1,100.0
25326,10,0,3,1,4,2,1,0,1,16671,0,97,2114,1,2,150.0
33647,0,0,2,1,4,1,1,0,1,15983,0,93,2114,1,1,150.0
34311,0,0,4,1,4,2,0,0,0,16787,0,60,2114,1,1,199.0
70320,16,0,3,1,4,1,1,0,0,16842,1,97,2114,0,2,225.0
50775,0,0,3,1,4,2,1,0,1,16524,0,75,2114,1,1,127.0
50206,0,0,3,1,4,2,1,0,1,16524,0,93,2114,1,1,139.0
29359,0,0,6,1,4,2,1,0,0,16310,0,100,2114,2,3,325.0
69259,0,0,2,1,4,2,1,0,0,16352,1,94,2114,0,1,200.0
55631,0,0,2,1,4,1,0,0,1,16357,0,100,2114,1,2,189.0
46416,10,0,2,1,4,2,1,0,1,16734,0,92,2114,1,1,185.0
33718,0,1,2,1,4,0,0,0,1,16491,0,100,2114,1,1,92.0
48997,16,0,6,2,4,2,1,0,0,17036,1,90,2114,2,2,149.0
9267,0,0,7,2,4,1,1,0,1,15617,0,100,2114,2,2,300.0
11535,0,0,5,2,4,2,1,0,0,15740,0,88,2114,2,2,429.0
26692,0,0,4,1,4,1,1,0,1,16178,1,100,2114,2,2,295.0
19436,0,0,7,1,4,2,1,0,0,16323,1,96,2114,2,2,125.0
16221,0,0,6,2,4,2,1,0,0,17036,1,90,2114,2,2,149.0
51970,0,0,6,1,4,2,1,0,1,15991,1,98,2114,2,2,299.0
70889,0,0,1,1,4,0,0,0,0,17344,1,100,2114,0,1,108.0
58633,0,0,2,1,4,1,1,0,1,16260,0,92,2114,1,1,175.0
9433,0,0,6,2,4,1,1,0,1,17047,0,96,2114,2,3,220.0
10961,0,0,4,1,4,2,1,0,1,16566,1,91,2114,1,1,111.0
15858,0,0,4,1,4,2,1,0,0,15168,1,88,2114,1,1,201.0
32713,0,0,4,1,4,2,1,0,1,16093,0,80,2114,1,2,250.0
2218,16,0,8,3,4,2,1,0,1,16711,0,98,2114,4,6,750.0
51534,10,0,2,1,4,1,0,0,1,16688,0,100,2114,1,1,275.0
16495,0,0,4,1,4,2,1,0,1,16566,1,95,2114,1,1,145.0
12079,10,0,4,1,4,2,1,0,1,16392,0,90,2114,2,2,305.0
51582,0,0,7,2,4,2,1,0,0,17036,1,92,2114,3,3,159.0
2060,10,0,2,1,4,2,1,0,0,17333,0,100,2114,1,1,140.0
57638,0,1,1,1,4,2,1,0,1,16239,0,100,2114,1,1,85.0
69036,0,0,4,1,4,1,1,0,1,15736,1,100,2114,1,1,136.0
58737,10,0,7,2,4,2,1,0,0,17105,1,99,2114,2,4,331.0
49247,0,1,2,1,4,1,1,0,1,15715,1,96,2114,1,1,130.0
43611,0,0,4,1,4,2,1,0,0,15168,1,88,2114,1,1,201.0
6147,0,0,2,1,4,2,1,0,1,16453,0,95,2114,1,1,117.0
35280,0,0,2,1,4,2,1,0,0,16084,0,97,2114,1,1,179.0
64134,20,0,3,1,4,1,1,0,1,15992,0,97,2114,1,2,246.0
43417,0,0,2,1,4,2,1,0,0,16323,1,86,2114,0,1,75.0
23033,10,0,5,2,4,2,1,0,1,16275,0,99,2114,2,2,249.0
31656,0,0,2,1,4,2,0,0,1,16315,0,90,2114,0,1,235.0
72116,0,0,3,1,4,2,1,0,1,16524,0,100,2114,1,1,125.0
64263,0,0,2,1,4,2,1,0,0,16323,1,88,2114,0,1,84.0
3059,0,0,5,2,4,2,1,0,0,15740,1,94,2114,2,2,429.0
27973,0,0,5,2,4,1,1,0,1,15992,0,100,2114,2,3,289.0
73856,0,0,6,1,4,1,1,0,0,17132,1,97,2114,2,2,380.0
72227,0,0,3,1,4,2,1,0,0,16600,1,78,2114,0,1,200.0
37136,0,0,2,1,4,2,1,0,0,16352,1,92,2114,0,1,200.0
52751,16,0,6,2,4,2,1,0,1,16711,0,100,2114,3,3,750.0
28750,20,0,5,2,4,1,1,0,1,15992,0,92,2114,2,3,337.0
37086,10,0,4,2,4,2,1,0,1,16664,0,100,2114,2,2,300.0
