,host_since,host_identity_verified,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,beds,instant_bookable,review_scores_rating,zipcode,bedrooms
74,16724,1,16,1,2,1,4,1,1,0,1,0,97,2109,1
75,16455,0,0,0,4,1,4,1,0,0,1,0,100,2109,1
76,16713,1,0,0,4,1,4,0,1,0,2,0,80,2109,2
77,16724,1,16,1,4,1,4,1,1,0,3,0,98,2109,1
78,16488,1,0,0,4,1,4,2,0,0,2,0,100,2109,2
79,15991,1,0,0,3,1,4,2,1,0,1,1,98,2109,1
80,16967,0,23,1,4,1,4,0,0,0,1,1,100,2109,1
81,16713,1,0,0,3,1,4,2,1,0,1,0,100,2109,1
82,17036,0,0,0,6,1,4,2,1,0,2,1,90,2109,2
83,17201,1,10,0,4,2,4,2,1,0,2,0,100,2109,2
84,15424,1,0,0,4,1,4,1,1,0,2,0,94,2109,2
85,17109,1,0,0,8,2,4,2,1,0,4,1,94,2109,2
86,16034,1,10,0,2,1,4,2,1,0,2,0,91,2109,1
87,15722,1,0,0,4,1,4,0,1,0,2,0,92,2109,1
88,16115,1,0,0,4,2,4,2,1,0,2,1,98,2109,2
89,17073,1,0,0,5,1,4,1,1,0,3,0,97,2109,1
90,15991,1,0,0,6,1,4,2,1,0,2,1,98,2109,2
91,16315,1,0,0,2,1,4,2,0,0,1,0,93,2109,1
92,17073,1,0,0,7,1,4,1,1,0,3,1,98,2109,0
93,17201,1,0,0,8,3,4,2,1,0,3,0,100,2109,3
94,17036,0,0,0,2,1,4,2,1,0,1,1,80,2109,1
95,17058,0,0,0,6,2,4,2,1,0,4,1,90,2109,2
96,17058,0,0,0,6,2,4,2,1,0,5,1,89,2109,2
97,17109,1,0,0,8,2,4,2,1,0,4,1,95,2109,2
98,16548,0,0,0,6,2,4,2,1,0,3,0,95,2109,2
99,17058,0,0,0,6,2,4,2,1,0,4,1,89,2109,2
100,17036,0,0,0,6,1,4,2,1,0,3,1,88,2109,3
101,17036,0,0,0,2,1,4,2,1,0,1,1,100,2109,1
102,16864,0,0,0,4,1,4,1,1,0,4,0,100,2109,1
103,15786,0,0,0,5,1,4,2,1,0,4,1,93,2109,1
104,17058,0,0,0,6,2,4,2,1,0,3,1,91,2109,2
105,17134,0,16,0,6,1,4,3,1,0,3,1,100,2110,2
106,16393,1,0,0,2,1,4,2,0,0,1,0,97,2110,1
107,16115,1,0,0,4,1,4,2,1,0,2,1,95,2110,1
108,17134,0,16,0,5,1,4,3,1,0,3,1,96,2110,2
109,16115,1,0,0,3,1,4,2,1,0,2,1,89,2110,0
110,16115,1,0,0,2,1,4,2,1,0,1,1,88,2110,0
111,17134,0,16,0,10,2,4,3,1,0,5,1,100,2110,3
112,16115,1,0,0,2,1,4,2,1,0,1,1,100,2110,0
113,16115,1,0,0,2,1,4,2,1,0,1,1,98,2110,0
114,16115,1,0,0,2,1,4,2,1,0,1,1,84,2110,0
115,16115,1,0,0,4,1,4,2,1,0,2,1,87,2110,1
116,16115,1,0,0,2,1,4,2,1,0,1,1,94,2110,0
117,15682,1,0,0,6,1,4,2,1,0,2,1,78,2110,2
118,16115,1,0,0,2,1,4,2,1,0,1,1,87,2110,0
119,16115,1,0,0,2,1,4,2,1,0,1,1,92,2110,0
120,16115,1,0,0,2,1,4,2,1,0,1,1,95,2110,0
121,16115,1,0,0,4,1,4,2,1,0,2,1,90,2110,1
122,16115,1,0,0,2,1,4,2,1,0,1,1,85,2110,1
123,17134,0,16,0,6,2,4,3,1,0,3,1,93,2110,3
124,17134,0,16,0,6,1,4,3,1,0,3,1,80,2110,2
125,16115,1,0,0,3,1,4,2,1,0,2,1,94,2110,1
126,16115,1,0,0,4,2,4,2,1,0,2,1,95,2110,2
127,16115,1,0,0,4,1,4,2,1,0,2,1,92,2110,1
128,16115,1,0,0,4,1,4,2,1,0,2,1,85,2110,1
129,16357,1,0,0,5,2,4,1,0,0,3,0,90,2111,2
130,16115,1,19,0,4,2,4,2,1,0,2,1,94,2111,2
131,17222,1,0,0,5,1,4,2,1,0,3,1,95,2111,2
132,17222,1,0,0,3,1,4,2,1,0,2,1,96,2111,1
133,16524,1,0,0,3,1,4,2,1,0,1,0,100,2111,1
134,16353,1,0,0,4,1,4,2,1,0,2,0,100,2111,1
135,16083,0,0,0,6,1,4,2,1,0,2,1,91,2111,2
136,16957,0,0,0,3,1,4,2,0,0,2,0,100,2111,0
137,16541,0,0,0,6,1,4,2,1,0,2,1,92,2111,2
138,15789,0,0,0,4,1,4,2,1,0,2,1,83,2111,1
139,16710,1,0,0,3,1,4,0,0,0,2,0,100,2111,1
140,16350,1,0,0,6,2,4,2,1,0,3,1,96,2111,2
141,16524,1,0,0,3,1,4,0,1,0,1,0,100,2111,1
142,16524,1,0,0,3,1,4,0,1,0,1,0,100,2111,0
143,16524,1,0,0,5,2,4,2,1,0,2,0,90,2111,2
144,17056,1,0,0,6,2,4,2,1,0,2,0,97,2111,2
145,15313,0,0,0,4,1,4,2,0,0,2,0,97,2111,1
146,17056,1,0,0,4,1,4,2,1,0,1,0,100,2111,1
147,17030,1,0,0,11,2,4,2,1,0,7,1,97,2111,4
148,16649,1,0,0,3,1,4,2,1,0,2,0,93,2111,2
149,16083,1,0,0,4,1,4,2,1,0,1,0,99,2111,1
150,16083,0,0,0,6,2,4,2,1,0,3,1,85,2111,2
151,17058,0,0,0,8,2,4,2,1,0,4,1,85,2111,2
152,16642,1,0,0,4,1,4,1,1,0,2,0,95,2111,1
153,16689,1,0,0,4,1,4,2,1,0,2,0,93,2111,1
154,16231,1,0,0,6,1,4,1,1,0,3,1,95,2111,3
155,17222,1,0,0,4,1,4,2,1,0,3,1,98,2111,2
156,16509,0,0,1,2,1,4,2,0,0,1,1,60,2111,1
157,17222,1,0,0,4,1,4,2,1,0,2,1,99,2111,1
158,15789,0,10,0,8,1,4,2,1,0,4,1,88,2111,3
159,15258,0,10,1,2,1,4,2,1,0,1,1,84,2111,1
160,16115,1,0,0,4,1,4,2,1,0,2,1,92,2111,1
161,16689,1,0,0,4,1,4,2,1,0,2,0,92,2111,2
162,16664,1,0,0,2,1,4,2,1,0,1,0,99,2111,0
163,15992,1,20,0,3,1,4,1,1,0,2,0,96,2111,1
164,16197,1,0,0,3,1,4,1,1,0,1,0,100,2111,1
165,15304,0,0,0,2,1,4,2,1,0,1,0,80,2111,0
166,16524,1,0,0,5,2,4,2,1,0,2,0,100,2111,2
167,15989,1,0,0,4,1,4,1,1,0,2,0,100,2111,3
168,16524,1,0,0,5,2,4,2,1,0,2,0,88,2111,2
169,15992,1,0,0,5,2,4,1,1,0,3,0,100,2111,2
170,17030,1,0,0,5,1,4,2,1,0,3,1,93,2111,2
171,16524,1,0,0,5,2,4,2,1,0,2,0,80,2111,2
172,17030,1,0,0,11,2,4,2,1,0,7,1,98,2111,4
173,16115,1,0,0,6,3,4,2,1,0,3,1,88,2111,3
174,16351,0,19,0,8,3,4,2,1,0,3,1,93,2111,3
175,16115,1,19,0,4,2,4,2,1,0,2,1,85,2111,2
176,16524,1,0,0,5,2,4,2,1,0,2,0,100,2111,2
177,15168,0,0,0,2,1,4,2,0,0,1,0,100,2111,0
178,16524,1,0,0,5,2,4,2,1,0,2,0,100,2111,2
179,15516,0,0,0,2,1,4,1,1,0,1,0,97,2111,1
180,15989,1,0,1,2,1,4,1,1,0,1,0,100,2111,1
181,15992,1,0,0,3,1,4,1,1,0,2,0,100,2111,1
182,16534,1,19,0,2,1,4,2,1,0,1,0,98,2111,1
183,16442,1,19,1,2,1,4,2,1,0,1,1,92,2111,1
184,17060,0,0,0,5,2,4,2,1,0,2,0,100,2111,2
185,16689,1,0,0,6,1,4,2,1,0,3,0,93,2111,2
186,17030,1,0,0,5,1,4,2,1,0,3,1,100,2111,2
187,17030,1,0,0,10,2,4,2,1,0,6,1,100,2111,3
188,17060,0,0,0,5,2,4,2,1,0,2,0,100,2111,2
189,17314,0,0,0,6,2,4,2,1,0,3,0,98,2111,2
190,15411,1,19,0,4,2,4,2,1,0,2,0,99,2111,1
191,17030,1,0,0,5,1,4,2,1,0,3,1,80,2111,1
192,15991,1,0,0,6,1,4,2,1,0,2,1,97,2113,2
193,15604,0,0,0,2,1,4,2,1,0,1,0,88,2113,1
194,15604,0,0,0,2,1,4,2,1,0,1,0,93,2113,1
195,16655,1,0,0,2,1,4,2,1,0,2,0,96,2113,1
196,16558,0,10,0,4,1,4,2,1,0,2,0,100,2113,0
197,17036,0,0,0,5,1,4,2,1,0,2,1,90,2113,2
198,16170,0,0,1,1,1,4,0,0,0,1,0,95,2113,1
199,17173,0,0,0,2,1,4,1,1,0,1,0,100,2113,0
200,16702,1,0,0,4,1,4,2,1,0,2,0,96,2113,2
201,15371,1,0,0,4,1,4,2,1,0,2,0,97,2113,1
202,17036,0,0,0,12,2,4,2,1,0,4,1,99,2113,4
203,17036,0,0,0,8,2,4,2,1,0,3,1,94,2113,3
204,16046,0,0,0,4,1,4,2,1,0,1,0,95,2113,1
205,15223,1,0,0,6,1,4,2,1,0,3,1,90,2113,1
206,16272,1,0,0,4,1,4,0,1,0,2,0,99,2113,2
207,16901,1,0,0,6,1,4,2,1,0,3,0,100,2113,2
208,16610,1,0,0,5,1,4,0,1,0,3,0,99,2113,2
209,15786,0,0,0,8,3,4,2,1,0,4,1,94,2113,3
210,16558,0,10,0,6,1,4,2,1,0,3,0,80,2113,2
211,15424,1,0,0,4,2,4,2,1,0,2,0,98,2113,2
212,16301,0,0,0,2,1,4,2,1,0,1,0,96,2113,0
213,16258,1,10,0,4,1,4,2,1,0,2,0,98,2113,1
214,15991,1,0,0,3,1,4,2,1,0,1,1,98,2113,1
215,17036,0,0,0,6,1,4,2,1,0,3,1,92,2113,3
216,16796,0,0,0,2,1,4,2,1,0,1,0,99,2113,1
217,16247,0,0,0,2,1,4,2,1,0,1,0,95,2113,1
218,17036,0,0,0,8,1,4,2,1,0,4,1,93,2113,3
219,17036,0,0,0,6,1,4,2,1,0,3,1,97,2113,3
220,17036,0,0,0,8,2,4,2,1,0,3,1,95,2113,3
221,15561,1,0,0,2,1,4,2,1,0,1,0,92,2113,1
222,15604,0,0,0,2,1,4,2,1,0,1,0,89,2113,1
223,16708,0,0,0,3,1,4,2,1,0,1,1,100,2113,1
224,15223,1,0,0,3,1,4,2,1,0,1,1,89,2113,1
225,15794,1,0,1,2,1,4,2,1,0,1,0,98,2113,1
226,15223,1,0,0,5,1,4,2,1,0,3,1,60,2113,2
227,15248,1,0,0,2,1,4,2,1,0,1,0,95,2113,1
228,15786,0,0,0,6,1,4,2,1,0,3,1,92,2113,2
229,16423,0,0,0,2,1,4,2,0,0,1,1,87,2113,1
230,15371,1,0,0,4,1,4,2,1,0,4,0,96,2113,2
231,15554,1,10,0,5,1,4,2,1,0,4,1,93,2113,2
232,16899,1,0,0,2,1,4,2,1,0,1,1,80,2113,1
233,15223,1,0,0,6,1,4,2,1,0,4,1,83,2113,3
234,17036,0,16,0,12,2,4,2,1,0,4,1,97,2113,4
235,15857,1,0,1,2,1,4,2,1,0,1,0,92,2113,1
236,17021,1,16,1,2,1,4,1,1,0,2,0,92,2113,1
237,16115,1,0,0,2,1,4,2,1,0,1,1,93,2113,1
238,16682,0,0,0,2,1,4,2,1,0,1,0,90,2113,1
239,16111,1,0,0,2,1,4,1,1,0,1,0,100,2113,1
240,16046,0,0,0,4,1,4,2,1,0,1,0,92,2113,1
241,16897,0,0,0,2,1,4,0,0,0,1,1,97,2113,1
242,15604,0,0,0,2,1,4,2,1,0,1,0,93,2113,1
243,17036,0,0,0,6,1,4,2,1,0,3,1,94,2113,3
244,15604,0,0,0,2,1,4,2,1,0,1,0,89,2113,1
245,15786,0,0,0,6,1,4,2,1,0,3,1,89,2113,2
246,15991,1,0,0,6,1,4,2,1,0,3,1,100,2113,3
247,14503,0,10,0,4,1,4,2,1,0,2,0,79,2113,1
248,17036,0,0,0,2,1,4,2,1,0,1,1,91,2113,1
249,16469,0,16,0,12,2,4,2,1,0,7,1,100,2113,3
250,15286,0,0,0,2,1,4,0,1,0,1,1,98,2113,1
251,16558,0,10,0,6,1,4,2,1,0,3,0,60,2113,2
252,16518,1,0,0,2,1,4,0,1,0,1,0,100,2113,0
253,15696,1,0,0,3,1,4,0,1,0,1,1,100,2113,1
254,16071,1,0,0,4,1,4,1,1,0,2,1,100,2113,2
255,17036,0,0,0,6,1,4,2,1,0,2,1,92,2113,2
256,15223,1,10,0,4,1,4,2,1,0,2,1,87,2113,1
257,17036,0,16,0,12,2,4,2,1,0,4,1,99,2113,4
258,15794,1,0,0,2,1,4,2,1,0,1,0,96,2113,1
259,16410,1,0,0,3,1,4,2,0,0,1,0,97,2113,1
260,15424,1,0,0,4,2,4,2,1,0,2,0,96,2113,2
261,17036,0,0,0,6,1,4,2,1,0,3,1,94,2113,3
262,15378,1,0,0,4,1,4,1,1,0,1,0,97,2113,1
263,15604,0,0,0,2,1,4,2,1,0,1,0,95,2113,1
264,15786,0,0,0,6,1,4,2,1,0,3,1,90,2113,2
265,17184,0,0,1,1,1,4,1,0,0,1,1,98,2113,1
266,16078,1,0,0,4,1,4,2,1,0,1,1,98,2113,1
267,17036,0,0,0,5,1,4,2,1,0,2,1,93,2113,2
268,16323,0,0,0,4,1,4,2,1,0,2,1,100,2113,1
269,17073,1,0,0,5,1,4,1,1,0,3,1,93,2113,1
270,16670,1,0,1,1,1,4,0,0,0,1,0,98,2113,1
271,17036,0,0,0,6,1,4,2,1,0,3,1,100,2113,3
272,15424,1,0,0,4,1,4,2,1,0,2,0,92,2113,2
273,16558,0,10,0,6,1,4,2,1,0,3,0,99,2113,2
274,15223,1,0,0,5,1,4,2,1,0,3,1,92,2113,2
275,17036,0,0,0,2,1,4,2,1,0,1,1,90,2113,0
276,16046,0,0,0,4,1,3,2,1,0,1,0,91,2113,1
277,16901,1,0,0,2,1,4,2,1,0,2,0,98,2113,1
278,16323,0,0,0,7,1,4,2,1,0,4,1,88,2113,3
279,15709,1,0,0,4,1,4,0,1,0,2,0,98,2113,2
280,15378,1,0,0,3,1,4,1,1,0,2,1,96,2113,1
281,16284,1,0,0,4,1,4,2,1,0,2,1,98,2114,1
282,16315,1,0,0,2,1,4,2,0,0,1,0,94,2114,0
283,16452,1,0,2,2,1,3,1,1,0,1,0,98,2114,1
284,16323,0,0,0,3,1,4,2,1,0,2,1,91,2114,0
285,16098,1,10,1,3,1,4,2,1,0,1,0,96,2114,1
286,15424,1,0,0,4,1,4,2,1,0,2,0,98,2114,2
287,15136,1,0,1,2,1,4,2,1,0,1,1,88,2114,1
288,17062,0,0,1,1,1,4,2,1,0,1,0,94,2114,1
289,15401,1,0,0,4,1,4,2,1,0,2,0,88,2114,0
290,17342,0,0,0,4,3,4,0,0,0,3,0,100,2114,2
291,16524,1,0,0,5,2,4,2,1,0,2,0,90,2114,2
292,15992,1,0,0,3,1,4,1,1,0,2,0,100,2114,1
293,16607,1,0,0,2,1,4,1,1,0,1,1,100,2114,1
294,16407,1,0,1,3,1,4,1,0,0,2,0,93,2114,1
295,16066,1,0,0,3,1,4,2,1,0,2,0,94,2114,1
296,16316,1,0,0,2,1,4,2,1,0,1,0,95,2114,1
297,17036,0,16,0,4,1,4,2,1,0,2,1,81,2114,1
298,16772,0,0,0,3,1,4,2,1,0,1,0,99,2114,1
299,15644,1,0,0,4,1,4,0,0,0,3,0,96,2114,1
300,16297,0,0,0,5,2,4,2,1,0,3,0,90,2114,2
301,15401,1,0,0,2,1,4,2,1,0,2,1,89,2114,0
302,15927,1,0,1,2,1,4,0,1,0,1,0,97,2114,1
303,16671,1,10,0,3,1,4,2,1,0,2,0,97,2114,1
304,15983,1,0,0,2,1,4,1,1,0,1,0,93,2114,1
305,16787,0,0,0,4,1,4,2,0,0,1,0,60,2114,1
306,16842,0,16,0,3,1,4,1,1,0,2,1,97,2114,0
307,16524,1,0,0,3,1,4,2,1,0,1,0,75,2114,1
308,16524,1,0,0,3,1,4,2,1,0,1,0,93,2114,1
309,16310,0,0,0,6,1,4,2,1,0,3,0,100,2114,2
310,16352,0,0,0,2,1,4,2,1,0,1,1,94,2114,0
311,16357,1,0,0,2,1,4,1,0,0,2,0,100,2114,1
312,16734,1,10,0,2,1,4,2,1,0,1,0,92,2114,1
313,16491,1,0,1,2,1,4,0,0,0,1,0,100,2114,1
314,17036,0,16,0,6,2,4,2,1,0,2,1,90,2114,2
315,15617,1,0,0,7,2,4,1,1,0,2,0,100,2114,2
316,15740,0,0,0,5,2,4,2,1,0,2,0,88,2114,2
317,16178,1,0,0,4,1,4,1,1,0,2,1,100,2114,2
318,16323,0,0,0,7,1,4,2,1,0,2,1,96,2114,2
319,17036,0,0,0,6,2,4,2,1,0,2,1,90,2114,2
320,15991,1,0,0,6,1,4,2,1,0,2,1,98,2114,2
321,17344,0,0,0,1,1,4,0,0,0,1,1,100,2114,0
322,16260,1,0,0,2,1,4,1,1,0,1,0,92,2114,1
323,17047,1,0,0,6,2,4,1,1,0,3,0,96,2114,2
324,16566,1,0,0,4,1,4,2,1,0,1,1,91,2114,1
325,15168,0,0,0,4,1,4,2,1,0,1,1,88,2114,1
326,16093,1,0,0,4,1,4,2,1,0,2,0,80,2114,1
327,16711,1,16,0,8,3,4,2,1,0,6,0,98,2114,4
328,16688,1,10,0,2,1,4,1,0,0,1,0,100,2114,1
329,16566,1,0,0,4,1,4,2,1,0,1,1,95,2114,1
330,16392,1,10,0,4,1,4,2,1,0,2,0,90,2114,2
331,17036,0,0,0,7,2,4,2,1,0,3,1,92,2114,3
332,17333,0,10,0,2,1,4,2,1,0,1,0,100,2114,1
333,16239,1,0,1,1,1,4,2,1,0,1,0,100,2114,1
334,15736,1,0,0,4,1,4,1,1,0,1,1,100,2114,1
335,17105,0,10,0,7,2,4,2,1,0,4,1,99,2114,2
336,15715,1,0,1,2,1,4,1,1,0,1,1,96,2114,1
337,15168,0,0,0,4,1,4,2,1,0,1,1,88,2114,1
338,16453,1,0,0,2,1,4,2,1,0,1,0,95,2114,1
339,16084,0,0,0,2,1,4,2,1,0,1,0,97,2114,1
340,15992,1,20,0,3,1,4,1,1,0,2,0,97,2114,1
341,16323,0,0,0,2,1,4,2,1,0,1,1,86,2114,0
342,16275,1,10,0,5,2,4,2,1,0,2,0,99,2114,2
343,16315,1,0,0,2,1,4,2,0,0,1,0,90,2114,0
344,16524,1,0,0,3,1,4,2,1,0,1,0,100,2114,1
345,16323,0,0,0,2,1,4,2,1,0,1,1,88,2114,0
346,15740,0,0,0,5,2,4,2,1,0,2,1,94,2114,2
347,15992,1,0,0,5,2,4,1,1,0,3,0,100,2114,2
348,17132,0,0,0,6,1,4,1,1,0,2,1,97,2114,2
349,16600,0,0,0,3,1,4,2,1,0,1,1,78,2114,0
350,16352,0,0,0,2,1,4,2,1,0,1,1,92,2114,0
351,16711,1,16,0,6,2,4,2,1,0,3,0,100,2114,3
352,15992,1,20,0,5,2,4,1,1,0,3,0,92,2114,2
353,16664,1,10,0,4,2,4,2,1,0,2,0,100,2114,2
354,17380,0,0,0,4,1,4,0,1,0,2,1,93,2114,1
355,16352,0,0,0,2,1,4,2,1,0,1,1,93,2114,0
356,16626,0,0,0,4,1,4,2,1,0,2,1,96,2114,1
357,16431,1,10,0,3,1,4,1,1,0,2,0,93,2114,1
358,17047,1,0,0,4,1,4,1,1,0,2,0,98,2114,1
359,17047,1,0,0,6,2,4,1,1,0,3,0,100,2114,2
360,16432,0,10,0,4,1,4,2,0,0,2,1,87,2114,2
361,15923,0,0,0,4,1,4,1,1,0,1,0,100,2114,1
362,15295,1,0,2,1,1,3,2,1,0,1,0,93,2114,1
363,15992,1,20,0,5,2,4,1,1,0,3,0,100,2114,2
364,16995,1,0,0,4,1,4,1,1,0,1,0,95,2114,1
365,17383,0,0,0,2,1,4,1,1,0,2,0,100,2114,0
366,14435,1,0,0,4,2,4,3,1,0,2,0,92,2114,2
367,15136,1,0,1,2,1,4,2,1,0,1,1,91,2114,1
368,15846,1,0,0,3,1,4,2,1,0,1,0,97,2114,1
369,16315,1,0,0,2,1,4,1,0,0,1,0,91,2114,0
370,16687,0,10,0,4,1,4,2,1,0,2,1,96,2114,2
371,17309,1,10,0,4,1,4,2,1,0,2,0,100,2114,2
372,16407,1,0,1,2,1,4,2,1,0,1,0,100,2114,1
373,15740,0,0,0,5,2,4,2,1,0,2,0,80,2114,2
374,15975,1,0,0,2,1,4,1,1,0,1,1,100,2114,1
375,16081,1,0,0,3,1,4,2,1,0,2,0,99,2114,2
376,16327,0,10,0,2,1,4,2,1,0,1,0,95,2114,1
377,16323,0,0,0,3,1,4,2,1,0,1,1,91,2114,0
378,15991,1,0,0,3,1,4,2,1,0,1,1,98,2114,1
379,15991,1,0,0,7,2,4,2,1,0,5,1,99,2114,4
380,16505,1,0,1,2,1,4,1,1,0,1,0,94,2114,1
381,16297,0,0,0,3,1,4,2,1,0,2,0,100,2114,1
382,16323,0,0,0,2,1,4,2,1,0,1,1,90,2114,0
383,16848,0,0,0,6,1,4,1,1,0,3,1,100,2114,2
384,15386,0,0,0,4,1,4,2,1,0,2,0,94,2114,1
385,15715,1,0,0,4,1,4,1,1,0,2,0,96,2114,2
386,15644,1,0,0,3,1,4,0,1,0,2,1,92,2114,1
387,16352,0,0,0,2,1,4,2,1,0,1,1,84,2114,0
388,15991,1,0,0,6,1,4,2,1,0,3,1,99,2114,2
389,16848,0,0,0,4,1,4,1,1,0,2,1,99,2114,1
390,17029,0,0,0,2,1,4,1,1,0,1,0,93,2114,1
391,16323,0,0,0,8,1,4,2,1,0,4,1,94,2114,2
392,16826,0,10,0,3,1,4,2,1,0,2,0,100,2114,1
393,16694,0,0,0,2,1,4,0,1,0,1,1,97,2114,1
394,16323,0,0,0,6,1,4,2,1,0,3,1,88,2114,2
395,17072,0,10,0,4,1,4,0,1,0,2,0,88,2114,1
396,16074,1,0,0,2,1,4,2,0,0,1,0,100,2114,2
397,16990,1,0,0,4,1,4,3,1,0,2,1,93,2114,2
398,15168,0,0,0,6,1,4,2,1,0,3,1,99,2114,3
399,17373,0,0,0,4,1,4,1,1,0,2,0,97,2114,2
400,16323,0,0,0,2,1,4,2,1,0,1,1,83,2114,0
401,16352,0,0,0,2,1,4,2,1,0,1,1,91,2114,0
402,15168,0,0,0,4,1,4,2,1,0,1,1,87,2114,1
403,15991,1,10,0,5,1,4,2,1,0,2,1,98,2114,2
404,16098,1,0,0,4,1,4,2,1,0,2,0,92,2114,1
405,15789,0,0,0,2,1,4,2,1,0,2,1,88,2114,0
